48, 26, 23, 1700242224.9034822
48, 248, 24, 1700242225.2919447
56, 162, 24, 1700242225.6845508
47, 26, 23, 1700242226.0716872
47, 44, 23, 1700242226.463444
57, 57, 23, 1700242226.8534503
47, 53, 23, 1700242227.2435648
57, 58, 23, 1700242227.6334782
57, 54, 23, 1700242228.0233285
57, 253, 24, 1700242228.4134378
48, 196, 24, 1700242228.803162
56, 42, 23, 1700242229.1936138
57, 25, 23, 1700242229.583612
48, 22, 23, 1700242229.973513
50, 20, 24, 1700242230.3633993
57, 17, 23, 1700242230.7533824
58, 14, 23, 1700242231.1443121
48, 12, 24, 1700242231.5338104
74, 15, 24, 1700242231.9236448
57, 8, 24, 1700242232.31339
57, 7, 23, 1700242232.7033708
57, 6, 24, 1700242233.0940464
47, 10, 23, 1700242233.4842517
69, 14, 24, 1700242233.8734238
74, 20, 24, 1700242234.2640162
76, 25, 23, 1700242234.6538348
57, 29, 23, 1700242235.043464
48, 32, 23, 1700242235.433374
47, 37, 24, 1700242235.8235865
76, 37, 24, 1700242236.21251
57, 40, 24, 1700242236.603194
48, 195, 25, 1700242236.9936085
74, 249, 25, 1700242237.3834963
74, 61, 23, 1700242237.7738175
48, 62, 24, 1700242238.1634958
56, 60, 25, 1700242238.5548892
46, 58, 23, 1700242238.943621
50, 64, 24, 1700242239.3342524
56, 41, 25, 1700242239.723026
48, 49, 24, 1700242240.1136975
47, 50, 23, 1700242240.5035098
57, 53, 23, 1700242240.893538
55, 52, 23, 1700242241.2835102
56, 56, 23, 1700242241.673524
58, 54, 23, 1700242242.0637012
47, 61, 23, 1700242242.453609
58, 58, 23, 1700242242.8446124
47, 67, 23, 1700242243.2341466
74, 65, 25, 1700242243.623696
47, 70, 23, 1700242244.011889
74, 67, 23, 1700242244.4038723
47, 73, 25, 1700242244.7937531
57, 78, 25, 1700242245.18391
74, 9, 24, 1700242245.5737453
48, 9, 24, 1700242245.9633899
76, 44, 24, 1700242246.3536286
48, 44, 24, 1700242246.743685
47, 213, 23, 1700242247.1341975
58, 28, 24, 1700242247.5237122
74, 247, 24, 1700242247.914133
46, 43, 25, 1700242248.30357
46, 247, 23, 1700242248.6940823
74, 179, 24, 1700242249.0820673
56, 61, 23, 1700242249.4737437
